4, 1, 77.0, 20/06/2019, 15:51:25
15, 1, 80.0, 20/06/2019, 15:51:28
18, 1, 70.0, 20/06/2019, 15:51:30
3, 1, 87.0, 20/06/2019, 15:58:48
18, 1, 70.0, 20/06/2019, 16:03:57
15, 1, 70.0, 20/06/2019, 16:03:59
4, 1, 71.0, 20/06/2019, 16:04:00
4, 1, 77.0, 20/06/2019, 16:27:39
6, 1, 80.0, 20/06/2019, 16:30:08
3, 1, 87.0, 20/06/2019, 16:33:06
2, 1, 194.0, 20/06/2019, 16:38:35
7, 1, 30.1, 20/06/2019, 16:39:54
8, 1, 59.4, 20/06/2019, 16:41:34
5, 4, 70.0, 24 de jun de 2019, 12:56:23
15, 2, 128.0, 03/07/2019, 22:20:48
16, 2, 180.0, 03/07/2019, 22:20:49
17, 2, 297.0, 03/07/2019, 22:20:51
10, 1, 198.0, 04/07/2019, 02:13:51
13, 1, 108.9, 04/07/2019, 02:13:53
14, 1, 99.0, 04/07/2019, 02:13:54
18, 1, 198.0, 04/07/2019, 02:13:55
19, 1, 396.0, 04/07/2019, 02:13:57
15, 1, 158.4, 04/07/2019, 02:13:58
16, 1, 198.0, 04/07/2019, 02:14:00
17, 1, 297.0, 04/07/2019, 02:14:01
11, 1, 99.0, 04/07/2019, 02:14:03
12, 1, 118.8, 04/07/2019, 02:14:04
10, 1, 200.0, 04/07/2019, 02:16:16
13, 1, 110.0, 04/07/2019, 02:16:18
14, 1, 100.0, 04/07/2019, 02:16:19
18, 1, 200.0, 04/07/2019, 02:16:20
19, 1, 400.0, 04/07/2019, 02:16:21
15, 1, 160.0, 04/07/2019, 02:16:22
16, 1, 200.0, 04/07/2019, 02:16:23
17, 1, 300.0, 04/07/2019, 02:16:24
11, 1, 100.0, 04/07/2019, 02:16:25
12, 1, 120.0, 04/07/2019, 02:16:26
11, 1, 100.0, 04/07/2019, 02:20:30
12, 1, 120.0, 04/07/2019, 02:22:08
10, 1, 200.0, 04/07/2019, 02:22:09
14, 1, 100.0, 04/07/2019, 02:23:06
18, 1, 200.0, 04/07/2019, 02:23:10
19, 1, 400.0, 04/07/2019, 02:23:12
15, 1, 160.0, 04/07/2019, 02:23:13
16, 1, 200.0, 04/07/2019, 02:23:14
17, 1, 300.0, 04/07/2019, 02:23:15
13, 1, 110.0, 04/07/2019, 02:24:27
11, 1, 100.0, 04/07/2019, 02:24:28
12, 1, 120.0, 04/07/2019, 02:24:30
10, 1, 200.0, 04/07/2019, 02:24:31
14, 1, 100.0, 04/07/2019, 02:24:32
18, 1, 200.0, 04/07/2019, 02:24:33
19, 1, 400.0, 04/07/2019, 02:24:34
15, 1, 160.0, 04/07/2019, 02:24:35
16, 1, 200.0, 04/07/2019, 02:24:36
17, 1, 300.0, 04/07/2019, 02:24:37
13, 1, 110.0, 04/07/2019, 02:40:11
11, 1, 100.0, 04/07/2019, 02:40:12
12, 1, 120.0, 04/07/2019, 02:40:13
10, 1, 200.0, 04/07/2019, 02:40:14
14, 1, 100.0, 04/07/2019, 02:40:15
18, 1, 200.0, 04/07/2019, 02:40:16
19, 1, 400.0, 04/07/2019, 02:40:17
15, 1, 160.0, 04/07/2019, 02:40:18
16, 1, 200.0, 04/07/2019, 02:40:19
17, 1, 300.0, 04/07/2019, 02:40:21
13, 1, 110.0, 04/07/2019, 02:51:24
11, 1, 100.0, 04/07/2019, 02:51:26
12, 1, 120.0, 04/07/2019, 02:51:27
10, 1, 200.0, 04/07/2019, 02:51:28
14, 1, 100.0, 04/07/2019, 02:51:29
18, 1, 200.0, 04/07/2019, 02:51:29
19, 1, 400.0, 04/07/2019, 02:51:30
15, 1, 160.0, 04/07/2019, 02:51:31
16, 1, 200.0, 04/07/2019, 02:51:32
17, 1, 300.0, 04/07/2019, 02:51:35
